IDLink,Title,Headline,Source,Topic
99248,Obama Lays Wreath at Arlington National Cemetery,Obama Lays Wreath at Arlington National Cemetery. President Barack Obama has laid a wreath at the Tomb of the Unknowns to honor,USA TODAY,obama
10423,A Look at the Health of the Chinese Economy,"Tim Haywood, investment director business-unit head for fixed income at Gam, discusses the China beige book and the state of the economy.",Bloomberg,economy
18828,Nouriel Roubini: Global Economy Not Back to 2008,"Nouriel Roubini, NYU professor and chairman at Roubini Global Economics, explains why the global economy isn't facing the same conditions",Bloomberg,economy
27788,Finland GDP Expands In Q4,"Finland's economy expanded marginally in the three months ended December, after contracting in the previous quarter, preliminary figures from Statistics Finland showed Monday. ",RTT News,economy
27789,"Tourism, govt spending buoys Thai economy in January","Tourism and public spending continued to boost the economy in January, in light of contraction in private consumption and exports, according to the Bank of Thailand data. ",The Nation - Thailand&#39;s English news,economy
27790,Intellitec Solutions to Host 13th Annual Spring Microsoft Dynamics User Group,"Over 100 attendees expected to see latest version of Microsoft Dynamics SL and Dynamics GP (PRWeb February 29, 2016) Read the full story at http://www.prweb.com/releases/2016/03/prweb13238571.htm ",PRWeb,microsoft
80690,"Monday, 29 Feb 2016","RAMALLAH, February 25, 2016 (WAFA) - Palestine Liberation Organizationâ€™s Sectretary-General Saeb Erekat Thursday expressed his concerns over Kenyan President Uhuru Kenyattaâ€™s visit to Jerusalem and the Jordan Valley. ",,palestine
80762,"Obama, stars pay a musical tribute to Ray Charles","First lady Michelle Obama speaks in the State Dinning Room at the White House in Washington, Wednesday, Feb. 24, 2016, during an interactive student workshop on the musical legacy of Ray Charles , where students from 10 schools and community organizations from across the country participate as part of the &quot;In Performance at the White House&quot; series. ",Coast Reporter,obama
80771,Fire claims more than 100-year-old barn in Hancock County,A Hancock County man lost a barn early Monday morning that had been in his family more than 100 years. ,WTHR Indianapolis,palestine
27803,Microsoft's new Windows 10 ad targets Apple,"New Delhi, Feb.29 : Technology giant Microsoft has targeted its rival Apple in its new series of ads focusing on Windows 10, gross bugs, and the Windows machines. ",New Kerala,microsoft
27813,Microsoft Project Centennial seen with â€œuniversalâ€ desktop Office,"Microsoft may have burned off one bridge, but it is still building a different, and perhaps more critical build. Redmond has officially declared Project Astoria, the bridge that would let Android developers easily port their apps to Windows 10, dead but Project Centennial seems to be very much alive and kicking. In fact, it might have an rather ambitious demo â€¦ Continue reading ",SlashGear,microsoft
27812,Microsoft sneaks onto Android while Android sneaks onto Windows,"The platform battles are back MWC16 +Analysis Two parallel trends bubbled away at MWC this year â€“ but without getting much attention. When Android and Microsoft converge, itâ€™s going to be the next big platform battle, and one Microsoft canâ€™t afford to lose.â€¦ ",The Register,microsoft
27838,Greek economy grows 0.1 pct q/q in fourth quarter,"Greece's economy expanded by 0.1 percent in last year's final quarter versus a previously estimated 0.6 contraction, data by the country's statistics service ELSTAT showed on Monday. The data showed the ",Reuters via Yahoo! Finance,economy
27811,Big data and the Internet of Things to add Â£322BN to UK economy by 2020 â€“ report,"Big data analytics and the Internet of Things (IoT) are expected to add Â£322 billion to the UK economy from 2015 to 2020, according to new research by the Centre for Economics and Business Research (Cebr). ",Information Age,economy
27814,"HoloLens dev edition costs Â£2,000 with new Conker game","Microsoftâ€™s AR headset is being made available to developers, along with three new games â€“ including one based on Conkerâ€™s Bad Fur Day. ",Metro,microsoft
27823,Microsoft Word for Mac 2016 review: A subtle yet massive leap forward in usability and features,"What is A + B? Welcome to our review of Word for Mac 2016, updated on 29 Feb 2016. ",Macworld UK,microsoft
27827,Microsoft Band 2 gains appeal with lower price,"The Microsoft Band 2 hit the market in late 2015 and looked much better to the eye than the original wearable from Microsoft. The biggest downside to that wearable was the price tag for many people, when it originally debuted the Band 2 sold for $249.99. Microsoft is aiming to make its device more appealing to buyers not by adding â€¦ Continue reading ",SlashGear,microsoft
27828,Microsoft prepares to unleash Office 2016 full desktop apps on Windows Store?,"It seems that Microsoft is getting ready to push out a Project Centennial version of the Office 2016 suite on the Windows Store â€“ or at least, a test version is now available, which certainly points to the possibility of this happening before long. Project Centennial focuses on allowing developers to convert their Win32 desktop apps to ones which are compatible with the Windows Store and ",TechRadar,microsoft
27826,Greek economy shrank 0.3 percent last year but expanded towards end,"Greece's economy expanded slightly in the last three months of 2015, the country's statistics service said on Monday, revising flash estimates of a 0.6 percent decline and pointing to a smaller full-year ",Reuters via Yahoo! Finance,economy
27839,Sweden's economy is on fire â€” but here's why that's terrible news for the country's central bank,"Sweden's economy is on a massive tear, but for the country's central bank, that's actually pretty awful news. Sweden's economy grew by 4.5% on an annual basis during the fourth quarter of 2015, according to figures published on Monday. On the surface, a major, well-established Western economy growing by 4.5% in a year is absolutely fantastic, but for Sweden, and its central bank, the Riksbank ",Business Insider UK Finance via Yahoo Canada Finance,economy
27840,The Microsoft Band 2 now costs just $175,"The Microsoft Band 2 may have its problems, and although itâ€™s better built and more stylish than the original; many wonâ€™t have wanted to pay $250 for the sensor-packed wearable. Microsoft has taken pity on us all by reducing the Band 2â€™s price, and rather significantly too. Pop over to the Microsoft Store right now, and itâ€™s yours for $175. Interestingly, the $75 reduction comes days after a ",Digital Trends via Yahoo! Sports,microsoft
27837,Greek economy shrank 0.3 percent last year but expanded towards end,"By George Georgiopoulos ATHENS (Reuters) - Greece's economy expanded slightly in the last three months of 2015, the country's statistics service said on Monday, revising flash estimates of a 0.6 percent ",Reuters via Yahoo! Finance,economy
27853,China cuts reserve requirements in bid to boost economy,"China's central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing's latest attempt to tackle slowing growth in the world's second largest economy. The People's Bank of China (PBoC) said in a statement it would trim the so-called &quot;reserve requirement ratio&quot; (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to lend. The ",AFP via Yahoo! India News,economy
27854,China cuts reserve requirements in bid to boost economy,"China's central bank on Monday cut the proportion of funds banks must set aside as reserves, in Beijing's latest attempt to tackle slowing growth in the world's second largest economy. The People's Bank of China (PBoC) said in a statement it would trim the so-called &quot;reserve requirement ratio&quot; (RRR) for financial institutions by 0.50 percentage points, freeing up more funds for them to lend. The ",AFP via Yahoo! News,economy
80805,"Obama encouraging young people to learn math, science",President Barack Obama is launching a version of &quot;take your child to work day&quot; that's focused on America's science laboratories instead of its corporate workspaces. It's part of Obama's effort ,Associated Press via Yahoo! News,obama
27862,"Jaitley opens coffers for rural India, unveils another tax amnesty","New Delhi, Feb 29 (IANS) Focusing on rural economy and infrastructure with minor rebate for small taxpayers but amnesty for defaulters, Finance Minister Arun Jaitley on Monday unveiled a Rs.19.78 lakh crore ($300 billion) budget for 2016-17, earmarking more money for health, literacy and roads. The direct impact on taxpayers from the proposals announced during the 100-minute budget speech will ",IANS via Yahoo Maktoob News,economy
80801,"Obama Encouraging Young People to Learn Math, Science",President Barack Obama is launching a version of ,New York Times,obama
27868,Microsoftâ€™s Other Mobile App Takeover: The Story of SwiftKey,"On February 2, Microsoft announced the acquisition of SwiftKey, a keyboard app developer. The Financial Times reported that Microsoft paid $250 million. ",Market Realist via Yahoo! Finance,microsoft
27874,"Jaitley opens coffers for rural India, unveils another tax amnesty","New Delhi, Feb 29 (IANS) Focusing on rural economy and infrastructure with minor rebate for small taxpayers but amnesty for defaulters, Finance Minister Arun Jaitley on Monday unveiled a Rs.19.78 lakh crore ($300 billion) budget for 2016-17, earmarking more money for health, literacy and roads. The focus on rural economy and the promise to double the income of farmers in five years came against ",IANS India Private Limited/Yahoo India News via Yahoo! India News,economy
